Cultivar,seed_yiled,seed_number
Cultivar 1,39.1,18.7
Cultivar 1,39.5,17.4
Cultivar 1,40.3,18
Cultivar 1,,
Cultivar 1,36.7,19.3
Cultivar 1,39.3,20.6
Cultivar 1,38.9,17.8
Cultivar 1,39.2,19.6
Cultivar 1,34.1,18.1
Cultivar 1,42,20.2
Cultivar 1,37.8,17.1
Cultivar 1,37.8,17.3
Cultivar 1,41.1,17.6
Cultivar 1,38.6,21.2
Cultivar 1,34.6,21.1
Cultivar 1,36.6,17.8
Cultivar 1,38.7,19
Cultivar 1,42.5,20.7
Cultivar 1,34.4,18.4
Cultivar 1,46,21.5
Cultivar 1,37.8,18.3
Cultivar 1,37.7,18.7
Cultivar 1,35.9,19.2
Cultivar 1,38.2,18.1
Cultivar 1,38.8,17.2
Cultivar 1,35.3,18.9
Cultivar 1,40.6,18.6
Cultivar 1,40.5,17.9
Cultivar 1,37.9,18.6
Cultivar 1,40.5,18.9
Cultivar 1,39.5,16.7
Cultivar 1,37.2,18.1
Cultivar 1,39.5,17.8
Cultivar 1,40.9,18.9
Cultivar 1,36.4,17
Cultivar 1,39.2,21.1
Cultivar 1,38.8,20
Cultivar 1,42.2,18.5
Cultivar 1,37.6,19.3
Cultivar 1,39.8,19.1
Cultivar 1,36.5,18
Cultivar 1,40.8,18.4
Cultivar 1,36,18.5
Cultivar 1,44.1,19.7
Cultivar 1,37,16.9
Cultivar 1,39.6,18.8
Cultivar 1,41.1,19
Cultivar 1,37.5,18.9
Cultivar 1,36,17.9
Cultivar 1,42.3,21.2
Cultivar 1,39.6,17.7
Cultivar 1,40.1,18.9
Cultivar 1,35,17.9
Cultivar 1,42,19.5
Cultivar 1,34.5,18.1
Cultivar 1,41.4,18.6
Cultivar 1,39,17.5
Cultivar 1,40.6,18.8
Cultivar 1,36.5,16.6
Cultivar 1,37.6,19.1
Cultivar 1,35.7,16.9
Cultivar 1,41.3,21.1
Cultivar 1,37.6,17
Cultivar 1,41.1,18.2
Cultivar 1,36.4,17.1
Cultivar 1,41.6,18
Cultivar 1,35.5,16.2
Cultivar 1,41.1,19.1
Cultivar 1,35.9,16.6
Cultivar 1,41.8,19.4
Cultivar 1,33.5,19
Cultivar 1,39.7,18.4
Cultivar 1,39.6,17.2
Cultivar 1,45.8,18.9
Cultivar 1,35.5,17.5
Cultivar 1,42.8,18.5
Cultivar 1,40.9,16.8
Cultivar 1,37.2,19.4
Cultivar 1,36.2,16.1
Cultivar 1,42.1,19.1
Cultivar 1,34.6,17.2
Cultivar 1,42.9,17.6
Cultivar 1,36.7,18.8
Cultivar 1,35.1,19.4
Cultivar 1,37.3,17.8
